Run No.,beta(deg),delta(deg),r,Speed(m/s),rps,X',Y',N',RX',RY',TX',test type
319,0,25,0,1.1702,9.9,-3.8656E-04,1.4718E-03,-8.2670E-04,-4.7754E-05,1.1082E-03,1.2349E-03,rudder angle
318,0,20,0,1.1702,9.9,-3.0343E-04,1.1389E-03,-6.5394E-04,-2.0920E-06,8.5812E-04,1.2218E-03,rudder angle
317,0,15,0,1.1702,9.9,-2.2143E-04,7.2705E-04,-4.7628E-04,2.8303E-05,5.9653E-04,1.2116E-03,rudder angle
316,0,10,0,1.1702,9.9,-1.2289E-04,5.4372E-04,-2.7489E-04,3.7990E-05,3.4495E-04,1.2190E-03,rudder angle
315,0,5,0,1.1702,9.9,-9.1501E-05,2.7514E-04,-1.0966E-04,4.0548E-05,1.0780E-04,1.2183E-03,rudder angle
314,0,0,0,1.1702,9.9,-7.9998E-05,-1.5811E-05,6.1986E-05,2.8389E-05,-1.1440E-04,1.2203E-03,rudder angle
313,0,-5,0,1.1702,9.9,-8.3681E-05,-2.1614E-04,1.9156E-04,8.9590E-06,-3.3530E-04,1.2570E-03,rudder angle
312,0,-10,0,1.1702,9.9,-1.2025E-04,-5.5523E-04,3.7454E-04,-2.5690E-05,-5.9183E-04,1.2675E-03,rudder angle
311,0,-15,0,1.1702,9.9,-2.0375E-04,-9.0774E-04,5.6186E-04,-7.1380E-05,-8.5951E-04,1.2831E-03,rudder angle
323,0,20,0,1.003,9.9,1.3617E-04,1.3556E-03,-7.5479E-04,8.8870E-06,1.0133E-03,1.7892E-03,rudder angle
322,0,10,0,1.003,9.9,3.0152E-04,5.0112E-04,-3.2993E-04,5.8804E-05,4.0304E-04,1.7753E-03,rudder angle
321,0,0,0,1.003,9.9,3.5820E-04,1.7512E-05,5.5114E-05,4.1706E-05,-1.4313E-04,1.7860E-03,rudder angle
320,0,-10,0,1.003,9.9,2.8583E-04,-7.1267E-04,4.2878E-04,-2.4240E-05,-7.2208E-04,1.8382E-03,rudder angle
327,0,20,0,0.8359,9.9,8.6826E-04,1.7023E-03,-9.4356E-04,2.6187E-05,1.2902E-03,2.7703E-03,rudder angle
326,0,10,0,0.8359,9.9,1.0685E-03,7.3622E-04,-3.8448E-04,8.5582E-05,5.1435E-04,2.7368E-03,rudder angle
325,0,0,0,0.8359,9.9,1.1456E-03,1.6517E-05,6.5503E-05,6.4769E-05,-1.8421E-04,2.7609E-03,rudder angle
324,0,-10,0,0.8359,9.9,1.0405E-03,-8.3731E-04,5.4624E-04,-1.8647E-05,-9.3290E-04,2.8167E-03,rudder angle
331,0,20,0,0.6687,9.9,2.3530E-03,2.3311E-03,-1.2199E-03,5.8610E-05,1.7500E-03,4.6552E-03,rudder angle
330,0,10,0,0.6687,9.9,2.5919E-03,9.7518E-04,-5.0515E-04,1.3807E-04,7.0213E-04,4.5942E-03,rudder angle
329,0,0,0,0.6687,9.9,2.6825E-03,-1.2114E-04,8.6980E-05,1.0720E-04,-2.5796E-04,4.6186E-03,rudder angle
328,0,-10,0,0.6687,9.9,2.5102E-03,-1.2943E-03,7.7448E-04,-1.1097E-05,-1.3085E-03,4.6518E-03,rudder angle
335,0,20,0,0.5015,9.9,5.7387E-03,3.6165E-03,-1.8183E-03,1.0164E-04,2.7889E-03,8.8989E-03,rudder angle
334,0,10,0,0.5015,9.9,6.2167E-03,1.3300E-03,-8.0534E-04,2.4770E-04,1.0706E-03,8.7626E-03,rudder angle
333,0,0,0,0.5015,9.9,6.3475E-03,-1.4163E-04,1.8617E-04,1.8504E-04,-4.3823E-04,8.7150E-03,rudder angle
332,0,-10,0,0.5015,9.9,6.0074E-03,-2.0067E-03,1.1276E-03,-4.4870E-06,-2.0638E-03,8.7420E-03,rudder angle
339,0,20,0,0.3343,9.9,1.6037E-02,6.0644E-03,-3.5314E-03,2.3928E-04,5.4121E-03,2.1362E-02,rudder angle
338,0,10,0,0.3343,9.9,1.6644E-02,2.5439E-03,-1.5728E-03,5.3608E-04,2.1259E-03,2.1193E-02,rudder angle
337,0,0,0,0.3343,9.9,1.6601E-02,-5.6103E-04,2.1259E-04,3.9466E-04,-8.9554E-04,2.0705E-02,rudder angle
336,0,-10,0,0.3343,9.9,1.5986E-02,-4.2081E-03,2.0145E-03,4.6139E-05,-4.0510E-03,2.0755E-02,rudder angle
356,30 ,0,0,1.1702 ,9.9000 ,7.8068E-04,1.6637E-02,3.3354E-03,-1.4219E-05,7.4447E-04,1.0916E-03,drift angle
354,25 ,0,0,1.1702 ,9.9000 ,2.9509E-04,1.3087E-02,2.8062E-03,3.5090E-06,6.4839E-04,1.0508E-03,drift angle
352,20 ,0,0,1.1702 ,9.9000 ,1.3816E-04,1.0110E-02,2.3087E-03,1.5794E-05,5.7087E-04,1.0702E-03,drift angle
350,16 ,0,0,1.1702 ,9.9000 ,-1.1604E-04,7.5125E-03,1.9376E-03,2.5242E-05,4.6190E-04,1.0525E-03,drift angle
348,12 ,0,0,1.1702 ,9.9,-1.9760E-04,5.1432E-03,1.5437E-03,3.9650E-05,3.3929E-04,1.1146E-03,drift angle
346,9 ,0,0,1.1702 ,9.9,-2.4933E-04,3.5782E-03,1.2534E-03,3.1173E-05,2.6631E-04,1.0563E-03,drift angle
344,6 ,0,0,1.1702 ,9.9,-2.6066E-04,2.1217E-03,9.1402E-04,4.0068E-05,1.0713E-04,1.1136E-03,drift angle
342,4 ,0,0,1.1702 ,9.9,-1.7054E-04,1.3070E-03,6.2828E-04,4.2692E-05,2.2601E-05,1.2018E-03,drift angle
314,0 ,0,0,1.1702 ,9.9,-7.9998E-05,-1.5811E-05,6.1986E-05,2.8389E-05,-1.1440E-04,1.2203E-03,drift angle
358,-2 ,0,0,1.1702 ,9.9,-3.3580E-05,-8.2112E-04,-1.7856E-04,2.7290E-05,-2.0599E-04,1.2338E-03,drift angle
360,-4 ,0,0,1.1702 ,9.9,-4.0615E-05,-1.5034E-03,-5.5087E-04,3.2424E-05,-1.9122E-04,1.2519E-03,drift angle
362,-6 ,0,0,1.1702 ,9.9,-4.1999E-05,-2.1351E-03,-8.5838E-04,3.8674E-05,-2.1073E-04,1.2699E-03,drift angle
364,-9 ,0,0,1.1702 ,9.9,-4.0877E-05,-3.5254E-03,-1.1915E-03,2.8557E-05,-3.4032E-04,1.2630E-03,drift angle
366,-12 ,0,0,1.1702 ,9.9,-3.5058E-05,-5.1443E-03,-1.4594E-03,2.2970E-06,-4.2997E-04,1.2247E-03,drift angle
368,-16 ,0,0,1.1702 ,9.9,4.5772E-05,-7.5618E-03,-1.8781E-03,-1.0177E-05,-4.9743E-04,1.1773E-03,drift angle
370,-20 ,0,0,1.1702 ,9.9,2.4331E-04,-9.9393E-03,-2.2209E-03,-1.4278E-05,-5.4811E-04,1.1979E-03,drift angle
372,-25 ,0,0,1.1702 ,9.9,4.1589E-04,-1.3078E-02,-2.7465E-03,-3.2238E-05,-6.4761E-04,1.1843E-03,drift angle
374,-30 ,0,0,1.1702 ,9.9,8.4041E-04,-1.6417E-02,-3.2317E-03,-5.2810E-05,-7.4380E-04,1.2153E-03,drift angle
